noun,vowel,en vokal,vokalen,vowels,vokaler,vokalerna,,,,,
noun,letter,en bokstav,bokstaven,letters,bokstäver,bokstäverna,,,,,
noun,consonant,en konsonanter,konsonanten,consonants,konsonanter,konsonanterna,,,Alfabetet har tjugo konsonanter,,
verb,spell,att stava,stavar,stavade,har stavat,,,När man stavar försöker man använda rätt bokstäver i rätt ordning för att skapa ord.,,,
verb,"pronounce, express",att uttala,uttalar,uttalade,har uttalat,,Jag kan inte uttala ordet.,,,,
verb,"take, grab, bring",att ta,tar,tog,har tagit,ta!,Jag brukar ta cykeln till jobbet.,Det tar 4 timmar att flyga till Rom.,Mamman tog barnet till doktorn.,,Ta tjuven! Han stal min väska!
verb,to sort out,att reda,reder,redde,har rett,red!,,När man reder ut något undersöker man hur något är och varför det är så.,,,
verb,"mean, imply, signify",att betyda,betyder,betydde,har betytt,,Jag tror det kan betyda mycket för ekonomin.,Betyder jag inget för dig? ,,,
adjective,"right, correct",rätt,rätt,rätta,Du har rätt! Du har inte fel.,,Vet du de rätta svaren på frågorna?,,,,
verb,"lie (down), be situated",att ligga,ligger,låg,har legat,ligg!,,Bollen ligger på gräsmattan. | Stockholm ligger i östra Sverige.,,,
verb,read,att läsa,läser,läste,har läst,läs!,,,,,
word,"hello, hi",Hejsan! ,,,,,,,,,
word,"hello, hi",Tjena!,,,,,,,,,
verb,"learn, teach",att lära (sig),lär (sig),lärde (sig),har lärt (sig),lär (sig)!,Jag kan lära dig hur man dansar.,Jag lär mig spanska.,Lärde du dig att räkna i skolan?,,
noun,"picture, painting",en tavla,tavlan,"pictures, paintings",tavlor,tavlorna,Vilken fin tavla! Har du målat den?,,,Jag har målat alla tavlorna på väggen.,